task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	4a/1cd4cd	3268081	split_page_ranges (5)	COMPLETED	0	2024-12-12 16:19:37.469	6.4s	6.1s	73.6%	154.8 MB	2.3 GB	67.9 MB	86.6 MB
7	e4/53a9f6	3267996	split_page_ranges (7)	COMPLETED	0	2024-12-12 16:19:37.390	6.7s	6.4s	71.7%	144.3 MB	2.3 GB	67.9 MB	86.6 MB
2	0a/e1867d	3268008	split_page_ranges (2)	COMPLETED	0	2024-12-12 16:19:37.408	6.7s	6.4s	72.3%	148.4 MB	2.5 GB	67.9 MB	86.6 MB
1	5c/e2698e	3268021	split_page_ranges (1)	COMPLETED	0	2024-12-12 16:19:37.424	6.7s	6.3s	72.0%	145.1 MB	2.3 GB	67.9 MB	86.6 MB
3	44/ecea66	3268128	split_page_ranges (3)	COMPLETED	0	2024-12-12 16:19:37.492	6.8s	6.3s	70.4%	147.4 MB	2.3 GB	67.9 MB	86.6 MB
8	ff/c04b0c	3268173	split_page_ranges (8)	COMPLETED	0	2024-12-12 16:19:37.522	7s	6.5s	69.3%	146.4 MB	2.3 GB	67.9 MB	86.6 MB
6	f0/c76813	3268048	split_page_ranges (6)	COMPLETED	0	2024-12-12 16:19:37.442	7.3s	6.9s	65.8%	144.7 MB	2.4 GB	67.9 MB	86.6 MB
4	ca/4a1a51	3268188	split_page_ranges (4)	COMPLETED	0	2024-12-12 16:19:37.548	7.4s	6.6s	67.5%	136.9 MB	2.4 GB	67.9 MB	86.6 MB
10	4e/06b288	3274632	ocrd_cis_ocropy_binarize_0 (2)	COMPLETED	0	2024-12-12 16:19:44.174	59.9s	59.2s	84.7%	309 MB	2.4 GB	132.2 MB	153.6 MB
14	8b/bc917d	3275121	ocrd_cis_ocropy_binarize_0 (6)	COMPLETED	0	2024-12-12 16:19:44.581	1m 2s	1m 1s	86.7%	365.5 MB	2.7 GB	132.4 MB	154.7 MB
15	c0/c154e6	3275311	ocrd_cis_ocropy_binarize_0 (7)	COMPLETED	0	2024-12-12 16:19:44.772	1m 3s	1m 2s	83.1%	310.4 MB	2.5 GB	134 MB	153.5 MB
13	3a/77662f	3274857	ocrd_cis_ocropy_binarize_0 (5)	COMPLETED	0	2024-12-12 16:19:44.328	1m 7s	1m 7s	84.9%	309.6 MB	2.5 GB	135.6 MB	153.5 MB
12	70/471e2d	3274669	ocrd_cis_ocropy_binarize_0 (4)	COMPLETED	0	2024-12-12 16:19:44.195	1m 7s	1m 7s	85.5%	313 MB	2.6 GB	135 MB	154.1 MB
9	34/ef4da3	3274761	ocrd_cis_ocropy_binarize_0 (1)	COMPLETED	0	2024-12-12 16:19:44.250	1m 7s	1m 7s	84.5%	310.7 MB	2.5 GB	135.8 MB	153.5 MB
11	c4/28b7ce	3274720	ocrd_cis_ocropy_binarize_0 (3)	COMPLETED	0	2024-12-12 16:19:44.221	1m 8s	1m 7s	84.4%	313.1 MB	3.3 GB	136.1 MB	153.5 MB
16	54/909871	3275707	ocrd_cis_ocropy_binarize_0 (8)	COMPLETED	0	2024-12-12 16:19:45.061	1m 7s	1m 7s	84.9%	312.3 MB	2.5 GB	135.6 MB	153.5 MB
17	1e/babee7	3322467	ocrd_anybaseocr_crop_1 (1)	COMPLETED	0	2024-12-12 16:20:44.330	42.3s	41.8s	80.9%	490.1 MB	3.2 GB	131.4 MB	142.5 MB
18	40/e329d0	3323431	ocrd_anybaseocr_crop_1 (2)	COMPLETED	0	2024-12-12 16:20:46.212	45.3s	44.5s	80.4%	572.9 MB	3.2 GB	134 MB	145.6 MB
19	09/f7ff07	3324433	ocrd_anybaseocr_crop_1 (3)	COMPLETED	0	2024-12-12 16:20:47.543	45.4s	45s	80.9%	518.2 MB	3.3 GB	133.1 MB	141.8 MB
22	9f/370cc6	3328034	ocrd_anybaseocr_crop_1 (6)	COMPLETED	0	2024-12-12 16:20:51.749	47.2s	46.9s	81.7%	517.9 MB	3.2 GB	136.8 MB	143.5 MB
20	28/56f379	3327619	ocrd_anybaseocr_crop_1 (4)	COMPLETED	0	2024-12-12 16:20:51.311	47.9s	47.7s	82.3%	532.4 MB	3.2 GB	135.2 MB	141.8 MB
21	7d/5842af	3327766	ocrd_anybaseocr_crop_1 (5)	COMPLETED	0	2024-12-12 16:20:51.560	47.7s	47.4s	81.9%	561.8 MB	3.5 GB	137.3 MB	145.2 MB
25	f3/a87856	3353886	ocrd_skimage_binarize_2 (1)	COMPLETED	0	2024-12-12 16:21:26.722	13.1s	12.5s	75.4%	242.1 MB	2.5 GB	120.9 MB	146.5 MB
24	48/dfdebb	3328357	ocrd_anybaseocr_crop_1 (8)	COMPLETED	0	2024-12-12 16:20:52.041	48.2s	47.8s	82.4%	528.7 MB	3.3 GB	135.3 MB	141.8 MB
23	c2/42d98b	3328273	ocrd_anybaseocr_crop_1 (7)	COMPLETED	0	2024-12-12 16:20:51.959	49.1s	48.6s	81.8%	526.7 MB	3.4 GB	135.9 MB	141.9 MB
26	04/81a29b	3356951	ocrd_skimage_binarize_2 (2)	COMPLETED	0	2024-12-12 16:21:31.567	13.4s	13s	75.9%	240.5 MB	2.6 GB	121 MB	147 MB
27	c0/232412	3357757	ocrd_skimage_binarize_2 (3)	COMPLETED	0	2024-12-12 16:21:32.932	13.7s	13.3s	72.3%	241.7 MB	2.5 GB	122.1 MB	146.5 MB
28	75/4e2ce3	3362125	ocrd_skimage_binarize_2 (4)	COMPLETED	0	2024-12-12 16:21:39.015	15.2s	14.9s	66.7%	244.2 MB	2.5 GB	123.2 MB	146.5 MB
