task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
13	80/a403b8	2117544	split_page_ranges (13)	COMPLETED	0	2024-12-12 16:35:37.444	6s	5.7s	67.2%	164 MB	2.3 GB	70.3 MB	90 MB
14	e4/197c86	2117519	split_page_ranges (14)	COMPLETED	0	2024-12-12 16:35:37.433	6.1s	5.7s	66.4%	161.9 MB	2.3 GB	70.3 MB	90 MB
10	b5/867a73	2117582	split_page_ranges (10)	COMPLETED	0	2024-12-12 16:35:37.454	6.1s	5.8s	65.6%	161.4 MB	2.3 GB	70.3 MB	90 MB
2	c7/4f5aa8	2117491	split_page_ranges (2)	COMPLETED	0	2024-12-12 16:35:37.401	6.2s	5.9s	64.2%	159.7 MB	2.3 GB	70.4 MB	90 MB
8	e9/eb1eff	2117507	split_page_ranges (8)	COMPLETED	0	2024-12-12 16:35:37.421	6.3s	6s	64.0%	150.8 MB	2.5 GB	70.3 MB	90 MB
6	0c/5cde33	2117980	split_page_ranges (6)	COMPLETED	0	2024-12-12 16:35:37.556	6.2s	5.9s	64.8%	158.4 MB	3.2 GB	70.4 MB	90 MB
9	0f/d85257	2117654	split_page_ranges (9)	COMPLETED	0	2024-12-12 16:35:37.476	6.2s	6s	63.6%	154.5 MB	2.3 GB	70.3 MB	90 MB
1	c9/5eeead	2117759	split_page_ranges (1)	COMPLETED	0	2024-12-12 16:35:37.506	6.3s	6s	63.1%	157.3 MB	2.3 GB	70.3 MB	90 MB
4	6c/0937b0	2117797	split_page_ranges (4)	COMPLETED	0	2024-12-12 16:35:37.514	6.3s	6s	63.1%	157.9 MB	2.3 GB	70.4 MB	90 MB
16	eb/34267f	2117843	split_page_ranges (16)	COMPLETED	0	2024-12-12 16:35:37.524	6.4s	6.1s	62.4%	151.5 MB	2.3 GB	70.3 MB	90 MB
12	0d/7d017e	2117946	split_page_ranges (12)	COMPLETED	0	2024-12-12 16:35:37.546	6.4s	6s	63.6%	154.8 MB	2.4 GB	70.4 MB	90 MB
5	f5/dd82d9	2117621	split_page_ranges (5)	COMPLETED	0	2024-12-12 16:35:37.464	6.5s	6.3s	60.5%	152.7 MB	2.3 GB	70.4 MB	90 MB
7	8c/9a0600	2117895	split_page_ranges (7)	COMPLETED	0	2024-12-12 16:35:37.534	6.5s	6.2s	61.7%	153.6 MB	2.3 GB	70.3 MB	90 MB
3	1f/579be4	2117721	split_page_ranges (3)	COMPLETED	0	2024-12-12 16:35:37.492	6.6s	6.2s	60.0%	152.6 MB	2.4 GB	70.4 MB	90 MB
11	8e/2fd709	2118059	split_page_ranges (11)	COMPLETED	0	2024-12-12 16:35:37.571	6.6s	6.1s	61.3%	148.9 MB	2.3 GB	70.3 MB	90 MB
15	59/a3a46f	2122284	split_page_ranges (15)	COMPLETED	0	2024-12-12 16:35:38.330	6s	5.8s	63.5%	145.3 MB	2.3 GB	70.3 MB	90 MB
19	56/459962	2133299	ocrd_cis_ocropy_binarize_0 (3)	COMPLETED	0	2024-12-12 16:35:43.570	23.4s	23.3s	82.0%	296 MB	2.7 GB	126.2 MB	153.8 MB
18	f0/3de6be	2133253	ocrd_cis_ocropy_binarize_0 (2)	COMPLETED	0	2024-12-12 16:35:43.562	23.9s	23.7s	76.7%	294.1 MB	2.5 GB	124.7 MB	154 MB
17	d9/78f66c	2132905	ocrd_cis_ocropy_binarize_0 (1)	COMPLETED	0	2024-12-12 16:35:43.527	24.2s	23.9s	80.1%	296.4 MB	2.7 GB	126.2 MB	153.8 MB
32	6d/4f6ddd	2137215	ocrd_cis_ocropy_binarize_0 (16)	COMPLETED	0	2024-12-12 16:35:44.384	23.4s	23s	79.6%	295.1 MB	2.6 GB	124.3 MB	154.3 MB
29	43/d4b7fb	2135690	ocrd_cis_ocropy_binarize_0 (13)	COMPLETED	0	2024-12-12 16:35:44.039	24.2s	23.9s	80.5%	294.8 MB	2.5 GB	126.2 MB	153.8 MB
